,sample,sampleType,fishID,site,weight.g,length.cm,gutWeight.g,sex,wild_or_F2,fishType,extractionID,LF1_RF1,RF1_strength,LF1_IR1,IR1_strength,genotype,pcrGenotypeDate,sequencingRun,notes,reads.in,reads.out,derepF,derepR,merged,nochim,prop.retained,chl_abundance,is.neg
KLF_39,KLF_39,gut,39,Scorton Creek,4.0231,6.9,0.2432,M,wild,Scorton Creek wild,39,1,bright,0,none,homo,7/28/21,Run2,re-sequenced,108470,87983,87924,87915,87318,86990,0.801972895731539,0.000160938038855041,FALSE
KLF_44,KLF_44,gut,44,New Bedford Harbor,1.669,5.3,0.1028,M,wild,New Bedford Harbor wild,44,0,none,2,bright,intact,3/11/21,Run1,,79939,63288,62597,62740,60670,60376,0.755275897872127,0.0218298661719889,FALSE
KLF_16,KLF_16,gut,16,Scorton Creek,2.317,6,0.0971,M,wild,Scorton Creek wild,16,0,none,1,bright,intact,3/12/21,Run1,,135473,89397,89044,88992,87798,87178,0.643508300546973,0.000676776250888986,FALSE
KLF_233,KLF_233,gut,233,New Bedford Harbor,3.187,5,0.241,F,F2,New Bedford Harbor F2,,0,none,1,faint,intact,8/25/21,Run2,,118742,100615,100353,100424,99713,99567,0.838515436829429,0.118603553386162,FALSE
KLF_101,KLF_101,gut,101,Scorton Creek,8.348,7.1,0.46,F,F2,Scorton Creek F2,,1,bright,1,bright,het,8/25/21,Run2,,162793,135555,135034,135085,133472,132225,0.812227798492564,0.109669124598223,FALSE
KLF_213,KLF_213,gut,213,New Bedford Harbor,13.867,8.1,0.403,M,F2,New Bedford Harbor F2,,1,faint,1,faint,het,8/25/21,Run2,partial gut b/c giant fish,139016,117647,117564,117545,117047,116333,0.83683173159924,0.0235444800701435,FALSE
KLF_232,KLF_232,gut,232,New Bedford Harbor,2.984,4.8,0.133,F,F2,New Bedford Harbor F2,,1,bright,1,bright,het,8/25/21,Run2,,130178,109109,108874,108911,107979,107221,0.823649157307686,0.11359714981207,FALSE
KLF_230,KLF_230,gut,230,New Bedford Harbor,4.865,5.7,NA,F,F2,New Bedford Harbor F2,,0,none,0,none,none,8/25/21,Run2,goopy,114736,98395,98267,98334,97503,96516,0.841200669362711,0.0138008205893323,FALSE
KLF_74,KLF_74,gut,74,New Bedford Harbor,2.116,5.7,0.1691,M,wild,New Bedford Harbor wild,74,1,medium,1,faint,het,7/28/21,Run1,,134808,103850,102692,102697,95925,84290,0.625259628508694,0.0119705777672322,FALSE
KLF_38,KLF_38,gut,38,Scorton Creek,2.4662,6,0.0822,M,wild,Scorton Creek wild,38,1,bright,1,bright,het,3/12/21,Run2,re-sequenced,173700,136266,135878,135882,81972,81129,0.46706390328152,0.000431411702350577,FALSE
KLF_80,KLF_80,gut,80,New Bedford Harbor,3.606,7,0.1836,M,wild,New Bedford Harbor wild,80,0,none,1,bright,intact,3/12/21,Run1,,155903,108248,107431,107460,97867,93407,0.59913535980706,0.00453927435845279,FALSE
