	Kingdom	Phylum	Class	Order	Family	Genus	Species	Taxonomy
ASV7032	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Crocinitomix	NA	g:Crocinitomix
ASV7033	Bacteria	Firmicutes	Limnochordia	Limnochordia_or	Limnochordia_fa	Hydrogenispora	NA	g:Hydrogenispora
ASV7034	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	NA	NA	f:Clostridiaceae
ASV7035	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	NA	g:Legionella
ASV7036	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	NA	NA	f:Marinifilaceae
ASV7037	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula	NA	g:Blastopirellula
ASV7038	Bacteria	Synergistota	Synergistia	Synergistales	Synergistaceae	NA	NA	f:Synergistaceae
ASV7039	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	f:Lachnospiraceae
ASV7040	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	NA	NA	f:Rubritaleaceae
ASV7041	Bacteria	Cyanobacteria	Vampirivibrionia	Gastranaerophilales	NA	NA	NA	o:Gastranaerophilales
ASV7042	Bacteria	Proteobacteria	Alphaproteobacteria	Parvibaculales	NA	NA	NA	o:Parvibaculales
ASV7043	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007	NA	NA	f:DEV007
ASV7044	Bacteria	Thermotogota	Thermotogae	Petrotogales	Petrotogaceae	SC103	NA	g:SC103
ASV7045	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	NA	NA	f:Thiotrichaceae
ASV7046	Bacteria	Acidobacteriota	Vicinamibacteria	Subgroup_9	NA	NA	NA	o:Subgroup_9
ASV7047	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	c:Gammaproteobacteria
ASV7048	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Dethiosulfatibacteraceae	Dethiosulfatibacter	NA	g:Dethiosulfatibacter
ASV7049	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	NA	NA	f:Christensenellaceae
ASV7050	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007	NA	NA	f:DEV007
ASV7051	Bacteria	Acidobacteriota	Subgroup_26	NA	NA	NA	NA	c:Subgroup_26
ASV7052	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	NA	g:Pir4_lineage
ASV7053	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	NA	NA	f:Rhizobiaceae
ASV7054	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA	f:Pirellulaceae
ASV7055	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	NA	NA	f:Rhizobiaceae
ASV7056	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	NA	g:Paenibacillus
ASV7057	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	NA	NA	f:Desulfocapsaceae
ASV7058	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Dermabacteraceae	NA	NA	f:Dermabacteraceae
ASV7059	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	NA	g:Rhodopirellula
ASV7060	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	p-2534-18B5_gut_group	NA	NA	f:p-2534-18B5_gut_group
ASV7061	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	NA	NA	f:Cyclobacteriaceae
ASV7062	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	NA	g:Coxiella
ASV7063	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	NA	g:Coxiella
ASV7064	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	P3OB-42	NA	g:P3OB-42
ASV7065	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcales-Tissierellales_fa	Anaeromicrobium	NA	g:Anaeromicrobium
ASV7066	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	NA	NA	NA	o:Microtrichales
ASV7067	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA	f:Rhodobacteraceae
ASV7068	Bacteria	Firmicutes	Clostridia	Clostridia_or	Hungateiclostridiaceae	Pseudoclostridium	NA	g:Pseudoclostridium
ASV7069	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium_sensu_stricto_7	NA	g:Clostridium_sensu_stricto_7
ASV7070	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	NA	g:Pir4_lineage
ASV7071	Bacteria	Chloroflexi	Anaerolineae	Ardenticatenales	Ardenticatenaceae	NA	NA	f:Ardenticatenaceae
ASV7072	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	NA	NA	f:Rhizobiaceae
ASV7073	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA	f:Pirellulaceae
ASV7074	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula	NA	g:Pirellula
ASV7075	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	NA	g:Rhodopirellula
ASV7076	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA	f:Gemmataceae
ASV7077	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	NA	NA	f:Rubinisphaeraceae
ASV7078	Bacteria	Firmicutes	Bacilli	Brevibacillales	Brevibacillaceae	Brevibacillus	aydinogluensis/thermoruber	Brevibacillus aydinogluensis/thermoruber
ASV7079	Bacteria	Firmicutes	NA	NA	NA	NA	NA	p:Firmicutes
ASV7080	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	NA	g:Pir4_lineage
ASV7081	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	NA	NA	f:Micropepsaceae
ASV7082	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA	f:Pirellulaceae
ASV7083	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	NA	g:Pir4_lineage
ASV7084	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Lutibacter	NA	g:Lutibacter
ASV7085	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	NA	g:Pir4_lineage
ASV7086	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	NA	NA	f:Ktedonobacteraceae
ASV7087	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	NA	NA	f:Vermiphilaceae
ASV7088	Bacteria	Firmicutes	Limnochordia	Limnochordales	Limnochordaceae	NA	NA	f:Limnochordaceae
ASV7089	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	NA	NA	f:Vermiphilaceae
ASV7090	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	NA	NA	f:Cyclobacteriaceae
ASV7091	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Noviherbaspirillum	NA	g:Noviherbaspirillum
ASV7092	Bacteria	NA	NA	NA	NA	NA	NA	NA
ASV7093	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	NA	NA	f:Rubinisphaeraceae
ASV7094	Bacteria	Firmicutes	NA	NA	NA	NA	NA	p:Firmicutes
ASV7095	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Thalassotalea	NA	g:Thalassotalea
ASV7096	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	MND1	NA	g:MND1
ASV7097	Bacteria	Planctomycetota	Pla3_lineage	NA	NA	NA	NA	c:Pla3_lineage
ASV7098	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	g:Staphylococcus
ASV7099	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	f:Lachnospiraceae
ASV7100	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Natranaerovirga	NA	g:Natranaerovirga
ASV7101	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	NA	NA	f:Desulfosarcinaceae
ASV7102	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	c:Gammaproteobacteria
ASV7103	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	NA	NA	f:Leptotrichiaceae
ASV7104	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium	NA	g:Lachnoclostridium
ASV7105	Bacteria	Firmicutes	Clostridia	Clostridiales	Oxobacteraceae	Oxobacter	NA	g:Oxobacter
ASV7106	Bacteria	Firmicutes	Clostridia	Oscillospirales	UCG-010	NA	NA	f:UCG-010
ASV7107	Bacteria	Cyanobacteria	Vampirivibrionia	Gastranaerophilales	NA	NA	NA	o:Gastranaerophilales
ASV7108	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	Planctomicrobium	NA	g:Planctomicrobium
ASV7109	Bacteria	Firmicutes	Limnochordia	Limnochordia_or	Limnochordia_fa	Hydrogenispora	NA	g:Hydrogenispora
ASV7110	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA	f:Gemmataceae
ASV7111	Bacteria	Firmicutes	Bacilli	Aneurinibacillales	Aneurinibacillaceae	Aneurinibacillus	NA	g:Aneurinibacillus
ASV7112	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium	NA	g:Lachnoclostridium
ASV7113	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	NA	NA	f:Rubritaleaceae
ASV7114	Bacteria	Chloroflexi	KD4-96	NA	NA	NA	NA	c:KD4-96
ASV7115	Bacteria	Firmicutes	Bacilli	Bacillales	NA	NA	NA	o:Bacillales
ASV7116	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	Fuerstia	NA	g:Fuerstia
ASV7117	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA	f:Pirellulaceae
ASV7118	Bacteria	Schekmanbacteria	NA	NA	NA	NA	NA	p:Schekmanbacteria
ASV7119	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula	NA	g:Blastopirellula
ASV7120	Bacteria	Firmicutes	Clostridia	Caldicoprobacterales	Caldicoprobacteraceae	Caldicoprobacter	NA	g:Caldicoprobacter
ASV7121	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	NA	g:Rhodopirellula
ASV7122	Bacteria	Proteobacteria	Gammaproteobacteria	KI89A_clade	NA	NA	NA	o:KI89A_clade
ASV7123	Bacteria	Proteobacteria	Gammaproteobacteria	EC3	NA	NA	NA	o:EC3
ASV7124	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Candidatus_Berkiella	NA	g:Candidatus_Berkiella
ASV7125	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	c:Gammaproteobacteria
ASV7126	Bacteria	Planctomycetota	ODP123	NA	NA	NA	NA	c:ODP123
ASV7127	Bacteria	Proteobacteria	Alphaproteobacteria	Tistrellales	Geminicoccaceae	NA	NA	f:Geminicoccaceae
ASV7128	Bacteria	NA	NA	NA	NA	NA	NA	NA
ASV7129	Bacteria	Proteobacteria	Gammaproteobacteria	Arenicellales	Arenicellaceae	NA	NA	f:Arenicellaceae
ASV7130	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula	NA	g:Blastopirellula
ASV7131	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	NA	g:Rhodopirellula
ASV7132	Bacteria	Firmicutes	Clostridia	Clostridia_or	Hungateiclostridiaceae	NA	NA	f:Hungateiclostridiaceae
ASV7133	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	NA	g:Rhodopirellula
ASV7134	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA	c:Alphaproteobacteria
ASV7135	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	NA	NA	NA	o:Planctomycetales
ASV7136	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Cyanobacteriaceae	Cyanobacterium_CLg1	NA	g:Cyanobacterium_CLg1
ASV7137	Bacteria	Actinobacteriota	Actinobacteria	NA	NA	NA	NA	c:Actinobacteria
ASV7138	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Sedimenticolaceae	NA	NA	f:Sedimenticolaceae
ASV7139	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	Planctomicrobium	NA	g:Planctomicrobium
ASV7140	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia	NA	g:Woeseia
ASV7141	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	c:Gammaproteobacteria
ASV7142	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA	f:Rhodobacteraceae
ASV7143	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Flammeovirgaceae	Algivirga	NA	g:Algivirga
ASV7144	Bacteria	Proteobacteria	Alphaproteobacteria	Tistrellales	Geminicoccaceae	NA	NA	f:Geminicoccaceae
ASV7145	Bacteria	Planctomycetota	OM190	NA	NA	NA	NA	c:OM190
ASV7146	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	c:Gammaproteobacteria
ASV7147	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	NA	g:Pir4_lineage
ASV7148	Bacteria	Chloroflexi	Anaerolineae	Caldilineales	Caldilineaceae	NA	NA	f:Caldilineaceae
ASV7149	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta	NA	g:Spirochaeta
ASV7150	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Hathewaya	limosa	Hathewaya limosa
ASV7151	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	NA	g:Nocardioides
ASV7152	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	NA	g:Rhodopirellula
ASV7153	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA	f:Rhodobacteraceae
ASV7154	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5)_clade	NA	g:OM60(NOR5)_clade
ASV7155	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium_sensu_stricto_9	NA	g:Clostridium_sensu_stricto_9
ASV7156	Bacteria	Actinobacteriota	Actinobacteria	NA	NA	NA	NA	c:Actinobacteria
ASV7157	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	NA	NA	f:Parachlamydiaceae
ASV7158	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfobulbaceae	Desulfobulbus	NA	g:Desulfobulbus
ASV7159	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas	NA	g:Sulfurimonas
ASV7160	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	c:Gammaproteobacteria
ASV7161	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Aquicella	NA	g:Aquicella
ASV7162	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Halodesulfovibrio	NA	g:Halodesulfovibrio
ASV7163	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	NA	NA	NA	o:Veillonellales-Selenomonadales
ASV7164	Bacteria	Chloroflexi	Gitt-GS-136	NA	NA	NA	NA	c:Gitt-GS-136
ASV7165	Bacteria	NA	NA	NA	NA	NA	NA	NA
ASV7166	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	NA	f:Enterobacteriaceae
ASV7167	Bacteria	Firmicutes	Bacilli	Izemoplasmatales	NA	NA	NA	o:Izemoplasmatales
ASV7168	Bacteria	Fibrobacterota	Fibrobacteria	Fibrobacterales	TG3	NA	NA	f:TG3
ASV7169	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	NA	NA	f:Microbacteriaceae
ASV7170	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	NA	g:Pir4_lineage
ASV7171	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcales-Tissierellales_fa	Gottschalkia	NA	g:Gottschalkia
ASV7172	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	NA	g:Peredibacter
ASV7173	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aurantivirga	NA	g:Aurantivirga
ASV7174	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA	NA	f:Bacillaceae
ASV7175	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Erysipelothrix	NA	g:Erysipelothrix
ASV7176	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	NA	NA	f:Unknown_Family
ASV7177	Bacteria	Firmicutes	Bacilli	Aneurinibacillales	Aneurinibacillaceae	Aneurinibacillus	NA	g:Aneurinibacillus
ASV7178	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	NA	g:Peredibacter
ASV7179	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	NA	NA	f:Beijerinckiaceae
ASV7180	Bacteria	Proteobacteria	Gammaproteobacteria	HOC36	NA	NA	NA	o:HOC36
ASV7181	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	NA	g:Corynebacterium
ASV7182	Bacteria	Firmicutes	Clostridia	Clostridia_or	Hungateiclostridiaceae	Anaerobacterium	NA	g:Anaerobacterium
ASV7183	Bacteria	Firmicutes	Clostridia	Clostridia_or	Hungateiclostridiaceae	Pseudoclostridium	NA	g:Pseudoclostridium
ASV7184	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	f:Lachnospiraceae
ASV7185	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Filomicrobium	NA	g:Filomicrobium
ASV7186	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_Incertae_Sedis	Anderseniella	NA	g:Anderseniella
ASV7187	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_10	NA	g:Subgroup_10
ASV7188	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS7_marine_group	NA	NA	f:NS7_marine_group
ASV7189	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium	NA	g:Draconibacterium
ASV7190	Bacteria	RCP2-54	NA	NA	NA	NA	NA	p:RCP2-54
ASV7191	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Pseudohongiellaceae	BIyi10	NA	g:BIyi10
ASV7192	Bacteria	Proteobacteria	Alphaproteobacteria	AT-s3-44	NA	NA	NA	o:AT-s3-44
ASV7193	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Crocinitomix	NA	g:Crocinitomix
ASV7194	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	NA	NA	f:Bacteriovoracaceae
ASV7195	Bacteria	Proteobacteria	Gammaproteobacteria	EC3	NA	NA	NA	o:EC3
ASV7196	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rubripirellula	NA	g:Rubripirellula
ASV7197	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	NA	g:Rhodopirellula
ASV7198	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	NA	g:Pir4_lineage
ASV7199	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula	NA	g:Blastopirellula
ASV7200	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	NA	g:Methanobacterium
ASV7201	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	NA	NA	f:Intrasporangiaceae
ASV7202	Bacteria	Firmicutes	Clostridia	Clostridiales	Oxobacteraceae	Oxobacter	NA	g:Oxobacter
ASV7203	Bacteria	Firmicutes	Desulfotomaculia	Desulfotomaculales	Desulfotomaculales_fa	Cryptanaerobacter	NA	g:Cryptanaerobacter
ASV7204	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aquibacter	NA	g:Aquibacter
ASV7205	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	NA	NA	f:Vicinamibacteraceae
ASV7206	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	LCP-80	NA	g:LCP-80
ASV7207	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Rhodoplanes	NA	g:Rhodoplanes
ASV7208	Bacteria	Firmicutes	Clostridia	Clostridiales	Caloramatoraceae	Fonticella	NA	g:Fonticella
ASV7209	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	NA	NA	f:Planococcaceae
ASV7210	Bacteria	Firmicutes	Syntrophomonadia	Syntrophomonadales	Syntrophomonadaceae	Syntrophomonas	NA	g:Syntrophomonas
ASV7211	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	SEEP-SRB1	NA	g:SEEP-SRB1
ASV7212	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	NA	g:Pir4_lineage
ASV7214	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Altererythrobacter	NA	g:Altererythrobacter
ASV7215	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	NA	NA	NA	o:0319-6G20
ASV7216	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	NA	g:Rhodopirellula
ASV7217	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	c:Gammaproteobacteria
ASV7218	Bacteria	Myxococcota	Polyangia	Polyangiales	Sandaracinaceae	NA	NA	f:Sandaracinaceae
ASV7219	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	NA	NA	f:Chromatiaceae
ASV7220	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Iamiaceae	Iamia	NA	g:Iamia
ASV7221	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	NA	NA	f:Micavibrionaceae
ASV7222	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	NA	g:Microvirga
ASV7223	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Waddliaceae	Waddlia	NA	g:Waddlia
ASV7224	Bacteria	Firmicutes	Bacilli	Thermoactinomycetales	Thermoactinomycetaceae	Laceyella	NA	g:Laceyella
ASV7225	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	NA	g:Methylobacterium-Methylorubrum
ASV7226	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	NA	g:Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
ASV7227	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola	NA	g:Marmoricola
ASV7228	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA	NA	o:Gaiellales
ASV7229	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	NA	g:Rhodopirellula
ASV7230	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Haloimpatiens	NA	g:Haloimpatiens
ASV7231	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	NA	f:Xanthobacteraceae
ASV7232	Bacteria	Actinobacteriota	Coriobacteriia	OPB41	NA	NA	NA	o:OPB41
ASV7233	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	NA	NA	f:Unknown_Family
ASV7234	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	NA	g:Rhodopirellula
ASV7235	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_Incertae_Sedis	Bauldia	NA	g:Bauldia
ASV7236	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	NA	NA	f:Paenibacillaceae
ASV7237	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	NA	NA	NA	o:Thermomicrobiales
ASV7238	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	NA	f:Enterobacteriaceae
ASV7239	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	NA	NA	f:67-14
ASV7240	Bacteria	Firmicutes	Clostridia	Clostridia_or	Hungateiclostridiaceae	Ruminiclostridium	NA	g:Ruminiclostridium
ASV7241	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Thermobacillus	NA	g:Thermobacillus
ASV7242	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Candidatus_Berkiella	NA	g:Candidatus_Berkiella
ASV7243	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rubripirellula	NA	g:Rubripirellula
ASV7244	Bacteria	Firmicutes	Clostridia	Clostridia_or	Hungateiclostridiaceae	Acetivibrio	NA	g:Acetivibrio
ASV7245	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA	f:Pirellulaceae
ASV7246	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	NA	g:Legionella
ASV7247	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	NA	g:Coxiella
